# Band 1C   Etalon 1A   Slice 2
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  442  9  8.97864991443  1.44702564633  0.0717483873022  6.39133063869
0.0  442  19  19.0454898772  1.44209327603  0.0812240772071  6.40428153139
0.0  442  29  29.2144094719  1.33674050904  0.172144790629  6.41728807798
0.0  443  39  39.4777447259  1.17903248597  0.0732958873879  6.43034248979
0.0  443  50  49.657075702  1.2820485124  -0.0294964425201  6.44345303523
0.0  443  60  60.0397692529  1.48926611223  0.0724848257725  6.45661957986
0.0  443  70  70.4466741512  1.21696311758  0.0899909647126  6.46983964678
0.0  443  81  80.8395134182  1.46606599986  0.0207282358679  6.48311848993
0.0  443  91  91.4322201707  1.26970236571  0.105008879913  6.4964460364
0.0  444  102  102.158395206  1.47914631534  0.0683419509901  6.5098254984
0.0  444  113  112.767806182  1.45663409614  0.0457782036175  6.52326102087
0.0  444  124  123.535934706  1.20170226519  0.0187763872917  6.53675493901
0.0  444  134  134.426189328  1.19845149651  0.190211167027  6.55029945534
0.0  444  145  145.333875078  1.31857220436  0.223863754524  6.56390819317
0.0  444  156  156.283167781  1.39628333784  0.0868935066525  6.57756703028
0.0  444  167  167.345715809  1.30230182667  0.197844104474  6.5912871679
0.0  444  178  178.427335858  1.22956954206  0.123175324362  6.60506791321
0.0  445  190  189.639515268  1.31716160143  -0.114371631838  6.61890113393
0.0  445  201  200.980155019  1.54068146965  0.0522639734433  6.63278953622
0.0  445  212  212.375537616  1.4026330553  0.0970783165996  6.64674077263
0.0  445  224  223.71607832  1.47665553774  -0.0604771691191  6.66075002516
0.0  445  235  235.337371736  1.41801296457  0.147563236129  6.67482232275
0.0  445  247  246.857989264  1.5476511862  0.0135032692842  6.68894572978
0.0  445  259  258.546024159  1.26559852774  0.0461272282527  6.70313776172
0.0  445  270  270.394388108  1.35055639826  0.22218753937  6.71738967196
0.0  445  282  282.240626173  1.532083579  0.13337926939  6.73169621829
0.0  446  294  294.308620594  1.45290983293  0.169459323678  6.74606161077
0.0  446  306  306.331544625  1.4318624716  0.164778980279  6.76049190455
0.0  446  318  318.413494805  1.34445363216  0.103120704408  6.77498654679
0.0  446  331  330.554275359  1.32923227902  0.00875627755753  6.7895408646
0.0  446  343  342.824454876  1.61031076076  -0.0100164149446  6.80415817311
0.0  446  355  355.254729707  1.59844737289  0.0546193745356  6.81883700811
0.0  446  368  367.654325769  1.56773391704  -0.00179330937342  6.83358450976
0.0  446  380  380.273498922  1.61354002019  0.0151941380881  6.84839030075
0.0  446  393  392.876918864  1.69343471646  0.0191281925696  6.8632668863
0.0  446  406  405.626453991  1.58868457891  0.0384283662728  6.87820158648
0.0  446  418  418.49714516  1.44888906456  0.101019066274  6.89320016564
0.0  446  431  431.455380722  1.50381033774  0.125539953889  6.90826851953
0.0  446  444  444.485586745  1.33001744881  0.145654606391  6.92340304869
0.0  446  458  457.595582525  1.46548354884  0.0246266390935  6.93860195257
0.0  446  471  470.832245306  1.6560639891  -0.0146524029527  6.95387039624
0.0  446  484  484.25230356  1.57404604962  0.102205192374  6.96920700611
0.0  446  498  497.643510116  1.54079657148  -0.0312596133272  6.9846032436
0.0  446  511  511.261154375  1.67180754141  0.030536466243  7.00007028991
0.0  446  525  524.872602497  1.70955791561  -0.0092229246938  7.01561293846
0.0  446  539  538.646315045  1.6096582491  -0.0235979216738  7.03121967752
0.0  446  553  552.551796508  1.54096672261  0.0106848829053  7.04689365171
0.0  446  567  566.545608676  1.53610086722  0.0528929121066  7.06264134986
0.0  446  581  580.62150135  1.59036746962  0.0150797295068  7.07845463378
0.0  446  595  594.853798964  1.72804097611  0.0281009482801  7.09434363212
0.0  446  609  609.271164047  1.68293642475  0.13006666339  7.11030329506
0.0  446  624  623.618759604  1.61124943336  -0.0207528913896  7.12633316121
0.0  446  638  638.227688818  1.69696361769  0.0569801652661  7.14243843801
0.0  446  653  652.829906808  1.78556932813  -0.0308751518295  7.15861469701
0.0  446  668  667.609636119  1.68203781236  -0.0371766924486  7.17486214559
0.0  446  683  682.528337728  1.70683714365  0.0017680821486  7.19118272919
0.0  446  698  697.54454269  1.6917316903  0.0272219813283  7.20758141666
0.0  446  713  712.65508202  1.75027459834  -0.00695970255853  7.22405539092
0.0  446  728  727.970489174  1.8353270558  0.0761122508705  7.24060205537
0.0  446  743  743.402920159  1.66760175347  0.143995733683  7.2572231378
0.0  446  759  758.859375378  1.82087904668  0.00587835338846  7.27392259707
0.0  446  775  774.541902319  1.57736760876  0.0331851749421  7.29069615473
0.0  445  790  790.325292425  1.71323603386  0.0954094935955  7.30755733591
0.0  445  806  806.270409029  1.76713679272  0.05456059286  7.32448606613
0.0  445  822  822.354589208  1.71262365066  0.0862230382409  7.34149910688
0.0  445  839  838.517423613  1.65715790843  -0.00683908013852  7.35858704736
0.0  445  855  854.843692436  1.86191207491  -0.0321505264621  7.37575406621
0.0  445  871  871.40214824  1.75437023109  0.0827640789325  7.3930018908
0.0  445  888  888.016668732  1.90652796827  0.0497341022715  7.41033439147
0.0  444  905  904.670186271  1.82490812156  -0.00207050890175  7.4277404601
0.0  444  922  921.611149849  1.7984123328  0.0481944930925  7.44523069133
0.0  444  939  938.663210268  1.8248279311  0.0231969439308  7.46281116155
0.0  444  956  955.935364535  1.92425491867  0.0495778076887  7.48046540087
0.0  444  973  973.394528858  1.74230954613  0.163266056645  7.49820975433
0.0  443  991  990.815620797  1.89104974604  0.0020997226893  7.51603192907
0.0  443  1009  1008.56347854  1.7826631597  -0.00470229740714  7.53394238624
-1.4235537305  435  8  8.03882105845  1.41315806062  0.101492495375  6.39133063869
-1.4235537305  435  18  18.1068333288  1.38054434075  0.100733351476  6.40428153139
-1.4235537305  435  28  28.2678951117  1.26725046344  0.191816467497  6.41728807798
-1.4235537305  435  38  38.4231553505  1.16906882021  0.107018468408  6.43034248979
-1.4235537305  435  49  48.5900368257  1.20394650322  -0.00950874438933  6.44345303523
-1.4235537305  436  59  59.1047631687  1.45292018666  0.0496499730434  6.45661957986
-1.4235537305  436  69  69.4803257376  1.18287613346  0.0515636329771  6.46983964678
-1.4235537305  436  80  79.9290231995  1.45702137754  0.0593094444261  6.48311848993
-1.4235537305  436  90  90.4788444831  1.18725969355  0.0868435621497  6.4964460364
-1.4235537305  436  101  101.099352637  1.50397021899  0.0798844155185  6.5098254984
-1.4235537305  436  112  111.712890293  1.41467867701  0.040011458952  6.52326102087
-1.4235537305  436  123  122.508539602  1.20046204772  0.0293402706423  6.53675493901
-1.4235537305  437  133  133.486156324  1.14592804146  0.180178201214  6.55029945534
-1.4235537305  437  144  144.41914429  1.2082510591  0.211065176063  6.56390819317
-1.4235537305  437  155  155.385999577  1.25648636697  0.116868675892  6.57756703028
-1.4235537305  437  166  166.435838161  1.14065374445  0.199903824978  6.5912871679
-1.4235537305  437  177  177.505333775  1.24682097385  0.0718324317997  6.60506791321
-1.4235537305  437  189  188.646668311  1.32734435764  -0.0876418300859  6.61890113393
-1.4235537305  437  200  199.990824601  1.53214920267  0.078286636428  6.63278953622
-1.4235537305  437  211  211.37956559  1.3394120229  0.0671672903849  6.64674077263
-1.4235537305  438  223  222.876449747  1.55350585811  -0.0194987852183  6.66075002516
-1.4235537305  438  234  234.461359801  1.21454432977  0.156437331064  6.67482232275
-1.4235537305  438  246  246.043808112  1.58150146152  0.0584894182223  6.68894572978
-1.4235537305  438  258  257.680196014  1.44966701371  0.00971520091975  6.70313776172
-1.4235537305  438  270  269.509476239  1.22861016894  0.104166478052  6.71738967196
-1.4235537305  438  281  281.411007388  1.38159819891  0.155315915736  6.73169621829
-1.4235537305  438  293  293.368617752  1.39111442119  0.185803215384  6.74606161077
-1.4235537305  438  305  305.387576376  1.3583169753  0.173830735271  6.76049190455
-1.4235537305  438  317  317.477452163  1.24991584883  0.0997006241109  6.77498654679
