# Band 2A   Etalon 1A   Slice 8
# Distortion map version 06.04.00 - date 2018-10-16
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  926  12  11.5368209259  1.74488158202  -0.00287180926292  7.46281116155
0.0  927  23  23.4230902592  1.71761858371  0.00495992599006  7.48046540087
0.0  927  35  35.279365271  1.7022755446  0.0299366030027  7.49820975433
0.0  928  47  47.3538561834  1.64989264266  0.048556891354  7.51603192907
0.0  929  59  59.485541438  1.48430976016  0.0470878258836  7.53394238624
0.0  929  72  71.5585398253  1.59687987336  0.00222260866047  7.55193643168
0.0  930  84  83.9036466649  1.7053449874  0.0494037731297  7.5700217338
0.0  930  96  96.2281999266  1.61390618269  0.0948067844015  7.58818685258
0.0  931  109  108.668739518  1.56344010439  0.0234608409309  7.60644596181
0.0  931  121  121.176415665  1.66491858837  -0.0138739425657  7.62478801897
0.0  932  134  133.877859488  1.68507658957  0.0222963372503  7.6432169222
0.0  932  147  146.578388015  1.70403265564  -0.034724224699  7.66173844531
0.0  933  159  159.501105789  1.62693896204  0.0177629562608  7.6803446471
0.0  933  172  172.481770103  1.65157810705  0.0262635745795  7.69904812526
0.0  934  186  185.517062555  1.59971920971  -0.0086681126333  7.71784197575
0.0  934  199  198.619155841  1.54268792602  -0.0202084833721  7.73672166641
0.0  935  212  211.982665842  1.6605174783  0.0485679635839  7.7556949654
0.0  935  225  225.328721346  1.55356387741  0.0993270162536  7.77476341225
0.0  936  239  238.791224198  1.6289728329  0.0296515818895  7.79392293448
0.0  936  252  252.366481355  1.53193628253  0.101103813712  7.81317756701
0.0  937  266  266.015703562  1.8052653501  0.0485573341571  7.8325368347
0.0  937  280  279.798201805  1.65254301823  0.0150471922475  7.85198214587
0.0  937  294  293.664276523  1.64266733848  0.0102794509037  7.87152163284
0.0  938  308  307.755322578  1.68196603985  0.0200597115446  7.89115894558
0.0  938  322  321.858462894  1.70154002897  0.0136445634143  7.91089855049
0.0  938  336  336.09424184  1.70283711622  0.0333454496166  7.93073880869
0.0  939  351  350.532151126  1.70259072319  0.0705938052478  7.95067775934
0.0  939  365  365.001426147  1.70249359283  0.0396154234307  7.97071507989
0.0  939  380  379.561313008  1.53208600838  0.00720950521204  7.9908458955
0.0  939  394  394.311143976  1.60709274626  0.081876091712  8.01108787094
0.0  939  409  409.079785984  1.6909202359  -0.00744349526219  8.03142653766
0.0  940  424  424.148181984  1.71469191727  0.0321076575159  8.05186706985
0.0  940  439  439.220361198  1.72339631902  0.0413970225893  8.07241887251
0.0  940  454  454.43236276  1.68698296715  0.0469543237176  8.09306889892
0.0  940  470  469.729487851  1.71322560354  0.00174014903676  8.11382299322
0.0  940  485  485.240585626  1.80906761197  0.0288845327616  8.13469133344
0.0  940  501  500.827846474  1.78192955456  0.000790208154923  8.15566417576
0.0  940  517  516.590259703  1.73101879408  0.0176113313787  8.17673984077
0.0  940  532  532.489972855  1.70951751359  0.0471327233991  8.19792487393
0.0  940  549  548.522673051  1.71206638418  0.0517362508501  8.21921825305
0.0  940  565  564.638037914  1.71168922211  -0.00850973282263  8.24062531645
0.0  940  581  580.966270248  1.80864724823  0.0155759464275  8.26215256974
0.0  940  597  597.428039804  1.74834853494  0.0332751144769  8.28378288708
0.0  940  614  613.988495911  1.87520035854  -0.00253179437961  8.30551487753
0.0  940  631  630.700815096  1.83786671407  -0.0331816555843  8.32737685112
0.0  940  648  647.624917186  1.85461440122  -0.00843066181369  8.34934670723
0.0  940  665  664.642928221  1.91459999648  -0.0272382539222  8.37143526475
0.0  939  682  681.786829319  1.95877757342  -0.00414370336575  8.39363003792
0.0  939  699  699.170735296  2.04433378785  0.0148711778508  8.41595293143
0.0  939  717  716.681718703  1.98400496396  0.0105252644561  8.43838792507
0.0  939  734  734.399318796  1.9897403636  0.0536601884766  8.46094502012
0.0  938  752  752.197199456  2.01180421075  0.072528072497  8.48362151745
0.0  938  770  770.215189714  2.02400272182  0.0636675006159  8.50642960091
0.0  937  788  788.339861233  1.98274836863  0.053625701686  8.52934390426
0.0  937  807  806.655268145  2.00602965396  -0.004490518818  8.5523944618
0.0  936  825  825.191353181  1.99081330209  0.0112522324037  8.57555356442
0.0  936  844  843.82878993  2.10824514327  -0.0329575209941  8.59883809823
0.0  935  863  862.66280764  2.05238394655  -0.0443551281501  8.6222489842
0.0  935  882  881.754614579  2.18085413902  -0.0491080191108  8.64579769721
0.0  934  901  900.93943299  2.24963664879  -0.0533365832605  8.66946798634
0.0  933  920  920.388995578  2.2566418602  -0.0158013669006  8.69327018462
0.0  933  940  939.99349053  2.36473990636  -0.043075181919  8.71719447832
0.0  932  960  959.786886235  2.4291090931  -0.0353987378634  8.74126102533
